순서,나라,면적(km^2)
?,카나리아 제도,34
?,세우타,19
?,멜리야,12
?,카라칼팍스탄,"166,600"
?,서사하라,"82,500"
?,올란드 제도,"1,580"
?,스발바르 제도,"61,022"
?,채텀 제도,966
?,니우에,261
?,쿡 제도,236
?,토켈라우,10
?,포클랜드 제도,"12,173"
?,사우스조지아 사우스샌드위치 제도,"3,903"
?,터크스 케이커스 제도,616
?,맨 섬,572
?,케이맨 제도,264
?,아크로티리 데켈리아,254
?,트리스탄다쿠냐,207
?,영국령 버진아일랜드,153
?,세인트헬레나,121
?,저지 섬,118
?,앵귈라,91
?,어센션 섬,88
?,건지 섬,78
?,영국령 인도양 지역,60
?,차고스 제도,56
?,버뮤다,53
?,핏케언 제도,47
?,지브롤터,7
?,올더니,7
?,사크,7
?,지브롤터,7
?,로자바,"50,000"
?,아소르스 제도,"2,351"
?,마데이라 제도,801
?,남오세티야,"3,900"
?,아자리야,"2,900"
?,그린란드,"2,166,086"
?,페로 제도,"1,399"
?,퀴라소,444
?,카리브 네덜란드,328
?,아루바,178
?,신트마르턴,37
?,트란스니스트리아,"4,163"
?,가가우지아,"1,832"
?,북키프로스 터키 공화국,"3,355"
