국가,확진자,치료중,사망자,완치,치명(%),완치(%),발생률,인구수,국토면적
네덜란드,1679542 ,N/A,17727 ,N/A,1 ,N/A,98019 ,17134872 ,41543 
세네갈,42437 ,365 ,1158 ,40914 ,3 ,96 ,2534 ,16743927 ,196722 
캄보디아,43446 ,5002 ,441 ,38003 ,1 ,88 ,2599 ,16718965 ,181035 
차드,"4947
","5
",174 ,4768 ,4 ,96 ,301 ,16425864 ,1284000 
소말리아,"14867
","6888
",775 ,"7204
",5 ,49 ,935 ,15893222 ,637657 
짐바브웨,"42195
","3310
","1685
","37200
",4 ,88 ,2839 ,14862924 ,390757 
기니,"23535
","1085
",168 ,"22282
",1 ,95 ,1792 ,13132795 ,245857 
르완다,"31435
","4343
","388
",26704 ,1 ,85 ,2427 ,12952218 ,26338 
베냉,8140 ,58 ,103 ,7979 ,1 ,98 ,671 ,12123200 ,112622 
부룬디,"5242
","4461
",8 ,773 ,0 ,15 ,441 ,11890784 ,27834 
튀니지,"385428
","34658
","14118
","336652
",4 ,87 ,32612 ,11818619 ,163610 
볼리비아,"422811
","65678
","16174
","340959
",4 ,81 ,36221 ,11673021 ,1098581 
벨기에,"1079640
","37925
","25141
",1016574 ,2 ,94 ,93156 ,11589623 ,30528 
아이티,17371 ,4319 ,385 ,12667 ,2 ,73 ,1523 ,11402528 ,27750 
쿠바,"169365
","8420
","1170
","159775
",1 ,94 ,14953 ,11326616 ,109884 
남수단,"10786
","157
",115 ,10514 ,1 ,98 ,964 ,11193725 ,644329 
도미니카 공화국,"317645
","54238
","3758
","259649
",1 ,82 ,29282 ,10847910 ,48670 
체코,1666082 ,2640 ,30280 ,1633162 ,2 ,98 ,155578 ,10708981 ,78867 
그리스,"418548
","6111
","12559
","399878
",3 ,96 ,40156 ,10423054 ,131957 
요르단,"747000
","6498
","9671
","730831
",1 ,98 ,73213 ,10203134 ,89342 
포르투갈,"865806
","28657
","17068
","820081
",2 ,95 ,84910 ,10196709 ,92090 
아제르바이잔,335521 ,959 ,4963 ,329599 ,2 ,98 ,33092 ,10139177 ,86600 
스웨덴,1084636 ,N/A,14537 ,N/A,1 ,N/A,107398 ,10099265 ,450295 
온두라스,"254194
","155560
","6772
","91862
",3 ,36 ,25664 ,9904607 ,112492 
