text
곤니찌와에서 ㅡ ㅡ ... 재밌다가 식었음 ㅠ
이게 예술이 아니면 뭔가요?
와 ㄹㅇ 내 인생 영화에 들어갈정도로 재밌음. 특유의 BOOM이라던가 만화같은 연출이랑 팝송같은 음악이 너무 좋았음
명대사:헤이
진짜 고퀄리티다....
스파이더맨 판권을 소니가 가져야 하는 이유
갠적으로 영화 2번이상 보고싶은거 없었는데 생겼다. 힘든요즘 힘내게 해준영화 왜 이제봤지?
영화도 재밌는데 연출이 일단 개신선하고 무엇보다 ost가 진짜 죽인다 ㅋㅋㅋㅋ
영상미 색감 액션 정말 삼박자를 다갖춘 영화에요ㅜㅜㅜ 다채로운 색의 조합이 눈을 즐겁게 만들고 화려한액션은 정말 말할것도 없네요.... 극장에서 못본게 아쉽네요 정말 재밌게 봤습니다 !!
이게 진짜 현대예술이지
스파이더맨 작품들 중에 최고.
스파이더맨 뉴 유니버스.
영화의 색감이 너무 좋다 눈이 즐거운 영화!
""
"애니메이션 자체로도 훌륭하지만, 전달하려는 메세지와 전달하는 방식도 매우 뛰어나다."
마블에서 만든 실사판보다 더 괜찮음 스파이더맨 특유의 설정때문에 애니메이션이 더 잘 맞는듯
존잼 3번이나 봄 ♡♡♡♡
꼭보셈 어벤져스보다 재밌음
진짜 잘 만들었음. 영상미가 좋음.
내가 스파이더맨 좋아하고 좀 안다 하시는분들은 더 재밋게 볼거같아요ㅋㅋㅋ 너무 재밌었음
생각한거 보대는 재밌다킬링타임용으로는 훌륭함
전반적으로 좋으나 후반부가 너무 일본스러운 아기자기한 판타지 세계가 나와 고개를 돌리게 된다.
"원작 코믹스를 그대로 옮겨놓은 듯한 영상,연출이 너무 신선하고 재미있었다.꼭 보시길 추천한다."
득특하고 창의적인 완벽한 스파이더맨 영화!
""
개인적으루 ost ㄹㅇ 미쳤음. 넘 좋당.
그냥 미쳤음 모든게 새롭다
애니메이션으로는 볼만 했음. 다만 실사 유니버스와는 별도로 계속 나왔으면 한다.
"스파이더맨으로 더 이상 뽑아 낼게 있나 싶었는데, 깜놀했음ㅎ 진짜 잘 만들었다. 신선해~~!"
풀뿌리 영웅주의에 대한 감각적인 해설.
경이로운 소문 오프닝 영상보다 자꾸 스파이더맨:뉴유니버스가 떠올라 다시 봤더니역시는 역시!!!
진짜 그냥 완벽하다 ㅠ ㅅ ㅠ
지린다...역대 스파이더맨중 가장재밌었다
스뽜이더맨~ 쓰뽜이더맨~
요즘 괜찮은영화 못만들고있는것같던데 드디어 걸작하나 만들어준 소니. 내용은 평범하지만 작화가 대단하다
""
메세지나 영화적 완성도는 물론이고 ost만으로도 일단 반은 먹고들어간다.
"이런 애니매이션은 처음이다. 내용, 색채, 스타일, 음악 그리고 스피디하고 통통 튀는 전개지루할 틈이 없다. 누구나 영웅이 될 수 있는 꿈을 꿀 수 있는 영화."
""
왓챠에떴길래 봤더니 이거 개꿀잼이네 ㅋㅋㅋ
애니메이션이 이렇게 스타일리쉬하고 힙할줄이야
지금 스파이더맨은 아이언맨 사이드킥 꼬봉되어버렸는데 . 이게 진짜 스파이더맨 후계자를 키우는거네 . 너무 멋있다
진짜 개 조오오오온잼 영상미대박
그림체가 가장 마음에 들었습니다. 스토리도 좋네요
최고의 스파이더맨 영화. 이걸 극장에서 볼수있었던건 내 인생의 자랑
"스파이더맨 시리즈 역대 최고의 띵작, 애니라서 실사영화의 한계를 뛰어넘는 연출을 보여준다."
스토리는 매우 아쉽지만 애니메이션이 상당히 볼만하다
"색다른 제안, 기막힌 완성."
애니메이션이 상당이 퀄리티 높고 연출. 캐릭터 움직임 등 상당히 공들인 느낌이 남.다만 다른 스파이더맨들의 컨셉 몇몇이 좀 억지스럽고 존재감이 별로 없어 그부분이 아쉽
""
""
"구라안치고 존나게, 졸라, 조지게 재밌다"
""
ㅠㅠ너무 좋음 감상평 안 남기는데 너무 좋아서 남길수밖에없음 아트북도 삼 ㅠㅠ
스파이더맨이 의도하지 않은 일로 얻은 능력에 대한 책임을 가져야 하는 건데 그게 얼마나 힘든지 공감이 감
OST 매일 듣는중ㅜㅜ
""
소니애니메이션중 가자앙 완성도높고 영상미좋고Ost좋고..다좋당
아이가 보고싶어해서 별기대없이 봤는데너무 재밌어요!히어로물 안 좋아하는데이것 땜에 다른 시리즈도 보고싶다하는 마음이 생기네요.영상이 멋있고 위트 있고 감동도 있고 참 재미있게 봤습니다^^
영상미가 끝내준다. 스토리도 맨날 영화화하던 피터파커가 주인공이 아닌 새로운 주인공이라서 흥미로웠고 멀티 유니버스 컨셉이라서 식상하지 않아 좋았음.
와 소니 큰그림이네 기존 마블 스파이더맨말고 흑인스파이더맨 저작권을 소니가 만들었으니 흑인스파이더맨은 소니한테 사서 써야하네. 난 더빙으로봤는데 자막으로보시기를추천. 난 다른 차원캐릭터들 돼지스파이더맨들활약기대했는데 그런거없네 흑인 비중챙기는작품임 개인적으로 9.38너무높은듯 8.5가 맞을듯
그동안 이미지나 기사만 보고 뭔가 카툰애니스러울거란 선입견이 있었는데 의외로 실사로도 무리없는 제대로 된 애니였다. political correctness이 묻어 굳이 차세대 스파이디를 흑인으로 삼은건 약간 거슬렸다. 그럼 황인종 스파이디는 언제 등장시킬건데? 미래에서 로봇과 함께 온 일본 미소녀캐릭터와 이 황당함을 무마하기위해 카툰돼지 스파이더햄까지 등장시켰을때 스파이디 판권이 소니였지란 생각이 들수밖에 없었다. 어이가 없던 캐릭터들였다. 친하던 삼촌이 뜬금없이 빌런이었단 것 외엔 괜찮은 스토리와 훌륭한 그래픽이 칭찬할만하다. 피터파커를 치우고 굳이 흑인소년 마일즈를 스파이디로 만들었지만 스파이디팬들에게 원조대체에 대한 불만을 가시게 할만큼 꽤 괜찮은 스토리텔링과 흑인문화권다운 새로운 스타일링을 선보였다. 더구나 수퍼히어로물중 스파이디와 소년의 성장드라마는 찰떡이라 더더욱 만족감이 높을수밖에 없다. 선입견을 지울만큼 꽤 괜찮은 세대교체다. 그렇다고 실사영화서도 피터파커를 제거하고 마일즈나 기타 새 스파이디를 출현시켜야 하냐는데선 찬성하지 않는다. 상업성에서 성공적으로 후속작들이 쏟아졌지만 아직도 토비의 스파이디외엔 딱히 가슴에 남는 내용도 없다. 피터파커서 짜낸 스토리가 원조 토비시절말고는 삼촌을 무한반복사망시킬만큼 후속작들에서 새로 나온것도 없다. 굳이 이미지고갈을 핑계로 피터파커를 새 인물로 갈아치워야할 이유가 없다. 더구나 페미와 political correctness에 오염된 현시대에는 더욱 동의하지 않는다.
그냥 넘모 재밌음..
이 영화의 세련되고 아름다울 정도의 영상미는 예술과도 같다. 그리고 그러한 영상에 걸맞는 OST들이 관객들을 더욱 즐겁게 만들어준다. 이 작품을 영화관에서 보지 못한게 천추의 한
이거 곧 다른 내용과 다른 방식으로 만들어짐 곧 ㅋㅋㅋㅋ
영화로 구현이 쉽지 않을 듯
재밌긴개뿔 주인공 ㅈㄴ답답하고 개연성도 없고 뭔
세상 모든 간지를 다 때려박은 영화
1212번봐도존잼;미친영화
""
